"Year","Quarter","FirstDay","LastDay","Event","Type","Location","OriginalCost","NormCost2011","NormCost2014"
2014,2,2014-04-11,2014-04-16,"Cyclone","Cyclone","QLD",8.4,NA,8.487
2014,1,2014-01-11,2014-01-14,"Bushfires","Bushfire","Perth",15,NA,15.228
2013,4,2013-10-17,2013-10-27,"Bushfires","Bushfire","NSW (various locations)",183.4,NA,187.25
2013,1,2013-01-27,2013-01-30,"Inundation , Storms","Storm","Northern NSW",121.3,NA,126.749
2013,1,2013-01-21,2013-01-30,"Inundation , Storms","Storm","QLD",977,NA,1020.889
2013,1,2013-01-13,2013-01-19,"Bushfire","Bushfire","Coonabarabran",35,NA,36.572
2013,1,2013-01-04,2013-01-10,"Bushfire","Bushfire","TAS",89,NA,92.998
2012,1,2012-02-24,2012-03-16,"Flooding","Flood","NSW , VIC",131.89,NA,141.264
2012,1,2012-01-24,2012-02-15,"Flooding","Flood","SW QLD",131.432,NA,140.773
2011,4,2011-12-25,2011-12-25,"Christmas Day Storms","Storm","Melbourne",728.64,NA,781.207
2011,4,2011-11-22,2011-11-24,"Margaret River Bushfires","Bushfire","Margaret River",53.45,NA,57.306
2011,1,2011-02-05,2011-02-07,"Perth Bushfires","Bushfire","Perth and surrounds",35.128,NA,38.237
2011,1,2011-02-04,2011-02-06,"Severe Storms","Storm","Melbourne and suburbs",487.615,NA,530.771
2011,1,2011-02-02,2011-02-07,"Cyclone Yasi","Cyclone","QLD",1412.239,NA,1537.229
2011,1,2011-01-13,2011-01-18,"Flooding","Flood","VIC",126.495,NA,137.69
2010,4,2010-12-21,2011-01-14,"Flooding","Flood","QLD, Rural Toowoomba, Lockyer Valley",2387.624,NA,2636.489
2010,1,2010-03-22,NA,"Perth Storm","Storm","Perth",1053,1019,1092.515
2010,1,2010-03-06,NA,"Melbourne Storm","Storm","Melbourne",1044,1160,1243.687
2010,1,2010-03-05,NA,"West QLD flooding","Flood","QLD",46.7,49,52.535
2009,4,2009-12-31,NA,"Toodyay Bushfires","Bushfire","Toodyay WA",7.4,8,8.577
2009,2,2009-05-21,NA,"Inundation , Storm Damage","Storm","South East Queensland , Northern NSW",48,55,58.968
2009,2,2009-04-10,NA,"Flooding","Flood","Northern NSW",37,40,42.886
2009,1,2009-02-07,NA,"Victorian fires","Other","VIC",1070,1266,1357.335
