Year,Quarter,Event,Location,OriginalCost,NormCost2011,NormCost2014
1967,1,Bushfire,Hobart,14.0,610.0,654.008
1967,4,Hail,Brisbane,5.0,396.0,424.569
1968,4,Earthquake,Meckering,1.5,57.0,61.112
1970,1,Cyclone Ada,"Bowen , Mackay",12.0,1001.0,1073.216
1970,3,Flood,North,5.0,157.0,168.327
1971,1,Flood,Gippsland,2.0,53.0,56.824
1971,4,Cyclone Althea,Townsville,25.0,648.0,694.749
1972,1,Cyclone Daisy,"Brisbane , the Gold Coast",2.0,116.0,124.369
1973,1,Cyclone Leah,Northern Australia,30.0,1492.0,1599.639
1974,1,"Cyclone, W,a Flood",Brisbane,68.0,2645.0,2835.822
1974,1,Cyclone Zoe,Port Macquarie to Brisbane,2.0,171.0,183.337
1974,2,Flood,Sydney,20.0,509.0,545.721
1974,2,Flood,NE VIC,4.0,117.0,125.441
1974,2,Hail,Sydney,20.0,509.0,545.721
1974,4,Cyclone Tracy,Darwin,200.0,4090.0,4385.07
1975,1,Flood,Sydney,15.0,339.0,363.457
1975,4,Cyclone Thelma,Port Headland,20.0,398.0,426.713
1976,1,Hail,Toowoomba,12.0,282.0,302.345
1976,1,Cyclone Beth,Bundaberg,3.0,40.0,42.886
1976,4,Hail,Sydney,40.0,650.0,696.894
1976,4,Cyclone Harry,Unknown,15.0,310.0,332.365
1977,1,Storm,Sydney,15.0,244.0,261.603
1977,1,Storm,"Tongala, Echuca",4.0,70.0,75.05
1977,1,Bushfire,Western Districts,9.0,101.0,108.287
1977,1,Flood,Clarence River,7.0,98.0,105.07
1978,1,"Flood, Storm",Sydney,7.0,101.0,108.287
1978,1,Storm,"Sydney, Newcastle, Wollongong",15.0,215.0,230.511
1978,1,Storm,North Coast,5.0,94.0,100.782
1978,2,Cyclone Alby,Perth,13.0,265.0,284.118
1979,1,Cyclone Hazel,"Kimberley , Pilbara Coast",15.0,202.0,216.573
1979,2,Earthquake,Cadoux,3.5,38.0,40.741
1979,4,Hail,Port Broughton,10.0,92.0,98.637
1980,1,Cyclone Amy,Port Headland,2.7,31.0,33.236
1980,1,Cyclone Dean,Pilbara,2.5,27.0,28.948
1980,1,Bushfire,Adelaide Hills,13.0,132.0,141.523
1980,4,Cyclone Carol,Brisbane,7.5,119.0,127.585
1980,4,Hail,Brighton,15.0,238.0,255.17
1981,1,"Flood, Storm",Dalby,20.0,205.0,219.79
1982,4,Storm,Melbourne,10.0,84.0,90.06
1983,1,Bushfire Ash Wednesday,Unknown,138.0,1489.0,1596.423
1983,1,Bushfire Ash Wednesday,Unknown,38.0,307.0,329.148
1984,1,Cyclone Kathy,Borroloola,5.0,35.0,37.525
1984,3,Bushfire,"Central , Southern",25.0,179.0,191.914
1984,4,Flood,Sydney,80.0,578.0,619.699
1985,1,Hail,Brisbane,180.0,2063.0,2211.834
1985,3,Hail,Melbourne,10.0,63.0,67.545
1986,1,Hail,Orange,25.0,160.0,171.543
1986,1,Cyclone Winifred,Cairns to Ingham,40.0,205.0,219.79
1986,3,"Flood, Storm",Sydney,35.0,215.0,230.511
1986,4,Hail,Western Sydney,104.0,638.0,684.028
1986,4,Storm,Adelaide,10.0,50.0,53.607
1987,1,Bushfire,Southern,7.0,32.0,34.309
1987,3,"Flood, Storm",East Perth,2.0,17.0,18.226
1987,4,Flood,Melbourne,8.0,40.0,42.886
1988,2,Flood,Alice Springs,10.0,68.0,72.906
1988,2,Flood,Sydney,25.0,139.0,149.028
1988,2,Cyclone Herbie,Carnarvon to Denham,20.0,117.0,125.441
1988,3,Storm,SW WA,8.0,60.0,64.329
1988,4,"Flood, Storm",Melbourne,11.0,48.0,51.463
1989,1,"Flood, Storm",Melbourne,17.0,74.0,79.339
1989,2,Cyclone Aivu,Townsville to Mackay,26.0,138.0,147.956
1989,4,Hail,Ballarat,20.0,81.0,86.844
1989,4,Earthquake,Newcastle,862.0,3240.0,3473.747
1990,1,Cyclone Nancy,Sydney to Brisbane,33.0,197.0,211.212
1990,1,Hail,Dubbo,9.0,35.0,37.525
1990,1,Hail,Sydney,10.0,41.0,43.958
1990,1,Hail,Sydney,319.0,1297.0,1390.571
1990,2,Flood,"NSW/QLD Nyngan , Charlivlle",30.0,99.0,106.142
1990,3,Storm,Sydney,12.0,46.0,49.319
1990,4,"Flood, Storm",Rockhampton to Cairns,32.0,121.0,129.729
1990,4,Bushfire,Unknown,10.0,32.0,34.309
1991,1,Storm,Sydney,138.4,525.0,562.876
