Year,Quarter,Date,FirstDay,Event,Type,Location,OriginalCost,NormCost2011,NormCost2014
2014,4,5Oct,2014-10-05,Auckland Power Outage,Power outage,Auckland,2,NA,2
2014,2,25Jun,2014-06-25,Nelson-Tasman Floods,Flood,Nelson, Tasman,2.7,NA,2.72
2014,2,9-11Jun,2014-06-09,Severe Weather North and South Islands,Weather,North and South Islands,37.6,NA,37.85
2014,2,17Apr,2014-04-17,Easter Weekend Storm and Floods,Flood, Storm,NA,55.3,NA,55.67
2014,1,15-16Mar,2014-03-15,Cyclone Lusi,Cyclone,NA,3.6,NA,3.63
2014,1,23-Feb,2014-02-23,Canterbury storm,Storm,Canterbury,4.8,NA,4.84
2014,1,4-5Mar,2014-03-04,Canterbury and Lower North Island storm,Storm,Canterbury and Lower North Island,22.5,NA,22.71
2013,4,14-16Oct,2013-11-14,Nationwide storm,Storm,Nationwide,12.4,NA,12.56
2013,3,11-12Sep,2013-09-11,Nationwide storm,Storm,Nationwide,74.5,NA,75.5
2013,3,16Aug,2013-08-16,Cook Strait earthquake,Earthquake,Cook Strait,16.2,NA,16.42
2013,3,21Jul,2013-07-21,Cook Strait earthquake,Earthquake,Cook Strait,14.9,NA,15.1
2013,2,20-22Jun,2013-06-20,Nationwide storms,Storm,Nationwide,39.3,NA,40.2
2013,2,4-7May,2013-06-04,North Island Floodsn,Flood,North Island,2.9,NA,2.97
2013,2,19-22Apr,2013-04-19,Nelson,Bay of Plenty storm and floods,Flood, Storm,Nelson,Bay of Plenty,46.2,NA,47.26
2012,4,6Dec,2012-12-06,Auckland Tornado,Tornado,Auckland,8.7,NA,8.95
2011,1,2010-2011,NA,Canterbury Earthquake accumulated total,Earthquake,Canterbury,16500,NA,17320.68
2011,1,29Jan,2011-01-29,Nelson,Bay of Plenty storm and floods,Flood, Storm,Nelson,Bay of Plenty,19.8,20.11,20.78
2011,2,26-27Apr,2011-04-26,Flooding, Hawkes Bay,Flood,Hawkes Bay,6.4,6.45,6.65
2011,1,23Jan,2011-01-23,Flooding Mid-Upper North Island,Flood,Mid-Upper North Island,6.9,7.01,7.24
2011,2,19Jun,2011-06-19,Taranaki tornados,Tornado,Taranaki,1.6,1.6,1.66
2011,4,15-16Dec,2011-12-15,Nelson Floods,Flood,Nelson,16.8,16.8,17.45
2011,2,3May,2011-05-03,Auckland tornado,Tornado,Auckland,6,6.04,6.24
2010,2,24-27May,2010-05-24,Flooding North , South Islands,Flood,North, South Islands,5.5,5.8,6.02
2010,3,18Sept,2010-09-18,Southland Storm,Storm,Southland,49.3,51.46,53.38
2010,4,13,14Oct,2010-10-13,Gisborne Flooding,Flood,Gisborne,0.25,0.26,0.26
2010,1,12Mar,2010-03-12,Wellington Thunderstorm,Storm,Wellington,1.2,1.27,1.32
2010,2,1Jun,2010-06-01,Flooding - Northland,Coromandel,Eastern BOP,Flood,Northland,Coromandel,Eastern BOP,12.5,13.18,13.68
2009,3,21Jul,2009-07-21,Taranaki Tornado,Tornado,Taranaki,0.5,0.53,0.55
2009,3,15Jul,2009-07-15,Fiordland Earthquake,Earthquake,Fiordland,1.5,1.6,1.65
2009,3,11,12Jul,2009-07-11,North Island Storms,Storm,North Island,1.7,1.82,1.87
2009,2,11May,2009-05-11,Bay of Plenty Hail Storm,Hailstorm,Bay of Plenty,2.3,2.47,2.56
2009,3,4Jul,2009-07-04,Kaitaia Tornado,Tornado,Kaitaia,0.01,0.01,0.01
2008,3,30-Jul-1-Aug,2008-07-30,Nationwide Storms,Storm,Nationwide,46.3,50.29,51.72
2008,3,26-Aug,2008-08-26,Flooding Nth Canterbury and Marlborough,Flood,North Canterbury and Marlborough,0.8,0.87,0.89
2008,3,26-27-Jul,2008-07-26,North Island Storms,Storm,North Island,26.7,29.02,29.82
2008,3,25-Aug,2008-08-25,Hastings Earthquake,Earthquake,Hastings,0.23,0.25,0.26
2008,4,17-Oct,2008-10-17,Cambridge Tornado,Tornado,Cambridge,1.03,1.11,1.16
2008,4,17-Nov,2008-11-17,Canterbury hail storm,Hailstorm,Canterbury,11.2,12.07,12.57
2007,1,29-Mar,2007-03-29,Storm event - Far North,Storm,Far North,12.5,14.33,14.89
2007,2,23-May,2007-05-23,Flooding - Nelson , New Plymouth,Flood,Nelson , New Plymouth,1.1,1.25,1.3
2007,4,23-24-Oct,2007-10-23,High Winds Event, Central North and Lower South Islands,Other,Central North and Lower South Islands,4.8,5.41,5.57
2007,4,20Dec,2007-12-20,Gisborne earthquake,Earthquake,Gisborne,30.5,34.11,35.38
2007,3,17-Jul,2007-07-17,Flooding Hawkes Bay,Flood,Hawkes Bay,1.1,1.25,1.29
2007,3,10-12-Jul,2007-07-10,Storm event - Far North , Auckland , Coromandel,Storm,Far North , Auckland , Coromandel,60.5,68.65,71.01
2007,3,7-9-Jul,2007-07-07,Frost claims - Otago , Canterbury,Other,Otago , Canterbury,7,7.94,8.22
2007,3,4-5-Jul,2007-07-04,Tornado events,Tornado,Tornado events,8.3,9.42,9.74
2006,2,26-Apr,2006-04-26,Flooding - Oamaru , Dunedin,Flood,Oamaru , Dunedin,1.8,2.11,2.17
2006,2,12-Jun,2006-06-12,Storms North , South Islands,Storm,North , South Islands,42.5,49.36,51.13
2006,4,9-Nov,2006-11-09,Windstorm damage - Mid to Upper North Island,Storm,Mid to Upper North Island,3.4,3.91,4.07
2006,3,5-7-Jul,2006-07-05,Storm,Flood events - Wellington, Manawatu, Wairarapa,Flood, Storm,Wellington, Manawatu, Wairarapa,2.7,3.13,3.23
2005,1,NA,NA,Coastal erosion - Haumoana H,B,,Other,Haumoana H,B,,0,0.03,0
2005,1,31-Mar,2005-03-31,Flooding - Lower Nth Island,Flood,Lower North Island,0.6,0.73,0.76
2005,1,25-Mar,2005-03-25,Storm damage Bay of Plenty,Storm,Bay of Plenty,0.9,1.09,1.14
2005,4,23-Oct,2005-10-23,Flooding - Gisborne,East Cape,Flood,Gisborne,East Cape,0.7,0.83,0.86
2005,1,23,24-Mar,2005-03-23,Christchurch Hailstorm,Hailstorm,Christchurch,13,15.8,16.4
2005,2,18-May,2005-05-18,BOP Tauranga , Matata,Other,BOP Tauranga , Matata,28.5,34.46,35.65
2005,1,10-Mar,2005-03-10,Greymouth Tornado,Tornado,Greymouth,9.2,11.19,11.61
2005,1,7-Feb,2005-02-07,Rain Storm - Dunedin,Storm,Dunedin,5,6.09,6.31
2005,1,6-Jan,2005-01-06,Flooding - Wellington Region,Flood,Wellington Region,2.5,3.05,3.15
2004,1,20,21Jan,2004-01-20,Storm Damage - North Island,Storm,North Island,0.75,0.94,0.97
2004,4,18-Oct,2004-10-18,Flooding - Hawkes Bay,Flood,Hawkes Bay,4.8,5.9,6.08
2004,3,17,19-Jul,2004-07-17,Eastern Bay of Plenty Floods,Flood,Eastern Bay of Plenty Floods,17.6,21.77,22.5
2004,3,15,20Aug,2004-08-15,Storms - North and South Islands,Storm,North and South Islands,8.7,10.74,11.12
2004,1,15,16Feb,2004-02-15,Storm Damage - Lower Nth Island,Storm,Lower North Island,112,140.06,145.25
2004,2,6-Apr,2004-04-06,Wanganui Hailstorm,Hailstorm,Wanganui,1.3,1.62,1.67
2003,2,9-10-Jun,2003-06-09,Lower North Island Flooding , Storm Damage,Flood, Storm,Lower North Island,1,1.27,1.32
2003,4,3,4Oct,2003-10-03,North , South Islands , Storms , Floods,Flood, Storm,North , South Islands,2.3,2.9,2.99
2002,2,21-Jun,2002-06-21,North Island Flooding , Storm Damage,Flood, Storm,North Island,21.5,27.69,28.73
2002,1,17-Jan,2002-01-17,Dunedin Flooding,Flood,Dunedin,0.3,0.39,0.41
2002,1,14-Jan,2002-01-14,Canterbury Flooding,Flood,Canterbury,0.25,0.33,0.34
2002,1,10-Jan,2002-01-10,Wellington , Wairarapa Flooding,Flood,Wellington , Wairarapa,0.6,0.78,0.81
2002,1,5-Jan,2002-01-05,Canterbury Hail Storm,Hailstorm,Canterbury,3,3.92,4.05
2001,4,10-Dec,2001-12-10,Wellington , Wairarapa Floods,Flood,Wellington , Wairarapa,0.6,0.79,0.81
2001,1,7-Jan,2001-01-07,Masterton Hailstorm,Hailstorm,Masterton,1.5,2,2.08
2001,4,4Nov,2001-11-04,Storm Damage North Island,Storm,North Island,0.5,0.66,0.68
2000,3,26-Sep,2000-09-26,North Island Severe Weather,Weather,North Island,4.2,5.66,5.87
2000,4,12-Oct,2000-10-12,Canterbury Storms,Storm,Canterbury,9.4,12.63,12.99
2000,2,10-Apr,2000-04-10,Tauranga , Eastern Bay of Plenty Floods,Flood,Tauranga , Eastern Bay of Plenty,1.9,2.61,2.69
2000,3,3-Jul,2000-07-03,Auckland , Coromandel Floods,Flood,Auckland , Coromandel,7.6,10.37,10.63
1999,1,22-Jan,1999-01-22,Northland , Pukekohe Floods,Flood,Northland , Pukekohe,5,6.96,7.24
1999,2,18-Apr,1999-04-18,Dargaville Floods,Flood,Dargaville,1.7,2.37,2.46
1999,3,2-Jul,1999-07-02,South Canterbury Storms,Storm,South Canterbury,0.6,0.84,0.86
1999,2,1-May,1999-05-01,Whangarei , Rotorua Floods,Flood,Whangarei , Rotorua,2.1,2.93,3.04
1999,4,1-Dec,1999-12-01,Queenstown Lakes District Floods,Flood,Queenstown Lakes District,46.1,63.83,66.26
1998,4,30-Oct,1998-10-30,North , South Islands Storms,Storm,North , South Islands,2,2.77,2.89
1998,4,29-Nov,1998-11-29,Upper North Island Storms,Storm,Upper North Island,5,6.93,7.22
1998,4,22-Oct,1998-10-22,North , South Islands Storms,Storm,North , South Islands Storms,6.2,8.57,8.96
1998,2,1-May,1998-05-01,Mercury Energy Crisis,Power outage,Mercury,10.2,14.19,14.7
1998,3,1-Jul,1998-07-01,North , South Island Floods , Storms,Flood, Storm,North , South Island,11.8,16.36,16.91
1997,2,30-Jun,1997-06-30,Northland Floods,Flood,Northland,1.2,1.69,1.76
1997,3,28-Sep,1997-09-28,Auckland Floods,Flood,Auckland,0.7,0.98,1.02
