originf,dev,inc.paid,development
2007,1,3511,2007
2007,2,3215,2008
2007,3,2266,2009
2007,4,1712,2010
2007,5,1059,2011
2007,6,587,2012
2007,7,340,2013
2008,1,4001,2008
2008,2,3702,2009
2008,3,2278,2010
2008,4,1180,2011
2008,5,956,2012
2008,6,629,2013
2009,1,4355,2009
2009,2,3932,2010
2009,3,1946,2011
2009,4,1522,2012
2009,5,1238,2013
2010,1,4295,2010
2010,2,3455,2011
2010,3,2023,2012
2010,4,1320,2013
2011,1,4150,2011
2011,2,3747,2012
2011,3,2320,2013
2012,1,5102,2012
2012,2,4548,2013
2013,1,6283,2013
