date,heater,icecream,training_index
2004-01-01,27,13,1
2004-02-01,18,15,1
2004-03-01,14,16,1
2004-04-01,13,19,1
2004-05-01,13,21,1
2004-06-01,13,24,1
2004-07-01,13,27,1
2004-08-01,14,20,1
2004-09-01,15,18,1
2004-10-01,20,15,1
2004-11-01,24,15,1
2004-12-01,29,14,1
2005-01-01,27,15,1
2005-02-01,17,15,1
2005-03-01,15,17,1
2005-04-01,14,19,1
2005-05-01,13,22,1
2005-06-01,13,28,1
2005-07-01,12,29,1
2005-08-01,13,21,1
2005-09-01,16,16,1
2005-10-01,25,14,1
2005-11-01,25,14,1
2005-12-01,31,14,1
2006-01-01,21,14,1
2006-02-01,20,15,1
2006-03-01,16,16,1
2006-04-01,14,19,1
2006-05-01,13,23,1
2006-06-01,13,27,0
2006-07-01,13,32,0
2006-08-01,13,24,0
2006-09-01,16,19,0
2006-10-01,22,16,0
2006-11-01,23,16,-1
2006-12-01,25,17,-1
2007-01-01,25,16,-1
2007-02-01,23,17,-1
2007-03-01,16,18,-1
2007-04-01,14,20,-1
2007-05-01,13,25,-1
2007-06-01,13,30,-1
2007-07-01,12,29,-1
2007-08-01,12,23,-1
2007-09-01,15,19,-1
2007-10-01,20,15,-1
2007-11-01,26,15,-1
2007-12-01,29,16,-1
2008-01-01,26,15,-1
2008-02-01,20,17,-1
2008-03-01,16,17,-1
2008-04-01,15,20,-1
2008-05-01,14,25,-1
2008-06-01,14,28,-1
2008-07-01,14,28,-1
2008-08-01,14,23,-1
2008-09-01,17,18,-1
2008-10-01,26,15,-1
2008-11-01,28,15,-1
2008-12-01,31,14,-1
2009-01-01,29,15,-1
2009-02-01,21,17,-1
2009-03-01,17,18,-1
2009-04-01,15,22,-1
2009-05-01,14,27,-1
2009-06-01,14,32,-1
2009-07-01,13,34,-1
2009-08-01,13,30,-1
2009-09-01,16,24,-1
2009-10-01,24,19,-1
2009-11-01,23,20,-1
2009-12-01,33,18,-1
2010-01-01,30,18,-1
2010-02-01,22,19,-1
2010-03-01,17,21,-1
2010-04-01,15,23,-1
2010-05-01,14,28,-1
2010-06-01,12,30,-1
2010-07-01,11,34,-1
2010-08-01,12,28,-1
2010-09-01,14,22,-1
2010-10-01,21,18,-1
2010-11-01,27,17,-1
2010-12-01,32,16,-1
2011-01-01,31,24,-1
2011-02-01,24,24,-1
2011-03-01,18,25,-1
2011-04-01,15,45,-1
2011-05-01,14,34,-1
2011-06-01,14,41,-1
2011-07-01,13,46,-1
2011-08-01,14,35,-1
2011-09-01,17,30,-1
2011-10-01,25,30,-1
2011-11-01,31,27,-1
2011-12-01,32,29,-1
2012-01-01,28,30,-1
2012-02-01,21,30,-1
2012-03-01,17,35,-1
2012-04-01,15,39,-1
2012-05-01,14,46,-1
2012-06-01,13,53,-1
2012-07-01,13,55,-1
2012-08-01,13,41,-1
2012-09-01,16,31,-1
2012-10-01,25,24,-1
2012-11-01,32,23,-1
2012-12-01,29,23,-1
2013-01-01,30,24,-1
2013-02-01,23,25,-1
2013-03-01,20,27,-1
2013-04-01,16,31,-1
2013-05-01,15,37,-1
2013-06-01,14,44,-1
2013-07-01,14,48,-1
2013-08-01,14,37,-1
2013-09-01,17,28,-1
2013-10-01,27,22,-1
2013-11-01,36,21,-1
2013-12-01,39,21,-1
2014-01-01,39,24,-1
2014-02-01,28,24,-1
2014-03-01,21,28,-1
2014-04-01,17,32,-1
2014-05-01,16,39,-1
2014-06-01,15,45,-1
2014-07-01,15,51,-1
2014-08-01,16,40,-1
2014-09-01,19,28,-1
2014-10-01,26,23,-1
2014-11-01,45,21,-1
2014-12-01,32,22,-1
2015-01-01,36,24,-1
2015-02-01,32,26,-1
2015-03-01,21,33,-1
2015-04-01,17,40,-1
2015-05-01,17,46,-1
2015-06-01,17,49,-1
2015-07-01,16,57,-1
2015-08-01,17,45,-1
2015-09-01,19,35,-1
2015-10-01,29,27,-1
2015-11-01,37,26,-1
2015-12-01,35,25,-1
2016-01-01,40,30,-1
2016-02-01,28,32,-1
2016-03-01,21,38,-1
2016-04-01,20,45,-1
2016-05-01,19,51,-1
2016-06-01,18,61,-1
2016-07-01,17,71,-1
2016-08-01,17,52,-1
2016-09-01,21,42,-1
2016-10-01,29,39,-1
2016-11-01,39,46,-1
2016-12-01,52,66,-1
2017-01-01,40,35,-1
2017-02-01,27,39,-1
2017-03-01,25,44,-1
2017-04-01,20,55,-1
2017-05-01,21,60,-1
2017-06-01,20,74,-1
2017-07-01,19,89,-1
2017-08-01,19,64,-1
2017-09-01,23,48,-1
2017-10-01,33,40,-1
2017-11-01,43,36,-1
2017-12-01,56,35,-1
2018-01-01,56,40,-1
2018-02-01,33,42,-1
2018-03-01,27,51,-1
2018-04-01,24,56,-1
2018-05-01,22,71,-1
2018-06-01,21,79,-1
2018-07-01,21,91,-1
2018-08-01,21,66,-1
2018-09-01,24,49,-1
2018-10-01,39,39,-1
2018-11-01,53,34,-1
2018-12-01,48,36,-1
2019-01-01,49,39,-1
2019-02-01,39,42,-1
2019-03-01,30,53,-1
2019-04-01,24,57,-1
2019-05-01,23,65,-1
2019-06-01,22,82,-1
2019-07-01,21,100,-1
2019-08-01,21,68,-1
2019-09-01,24,51,-1
2019-10-01,40,40,-1
2019-11-01,56,36,-1
2019-12-01,46,36,-1
2020-01-01,41,43,-1
2020-02-01,34,45,-1
2020-03-01,25,44,-1
2020-04-01,25,53,-1
2020-05-01,27,70,-1
2020-06-01,24,74,-1
